ID,ideology,leadership,name,party,description,introduced_bills_119,cosponsored_bills_119,unique_cosponsors_119,total_cosponsors_119
412802,0.47885226125743124,0.5348247307037127,Lee [NV3],Democrat,centrist Democrat,15,207,68,95
412787,0.05612968659535362,0.45871469362455225,Tlaib,Democrat,progressive Democrat,24,746,113,366
412258,0.1055420916339219,0.6155059524294652,Carson,Democrat,progressive Democrat,13,611,180,456
456806,0.7427366235247505,0.7057069290008627,Cammack,Republican,moderate Republican leader,20,81,169,221
456828,0.6882010724645193,0.5798724227386193,Fischbach,Republican,rank-and-file Republican,19,117,105,190
412705,0.7904143552518912,0.6605212918635268,Higgins,Republican,conservative Republican,28,204,158,268
456859,0.6432872764448894,0.48818412435607955,Letlow,Republican,rank-and-file Republican,9,88,55,62
412417,0.6620990370103113,0.3203210653994917,Scott [GA8],Republican,rank-and-file Republican,10,88,49,52
412550,0.7296432887051071,0.7926098506008811,Hudson,Republican,moderate Republican leader,14,130,309,435
400068,0.6147186268032162,0.14921771358945798,Carter [TX31],Republican,moderate Republican follower,2,78,12,12
412195,0.2507775090708992,0.6718000073650376,Castor,Democrat,rank-and-file Democrat,18,254,83,133
456847,0.8280809040288899,0.6575264477308306,Jackson [TX13],Republican,conservative Republican,27,120,135,267
412673,0.6632213370626608,0.4915719879778349,Kelly [MS1],Republican,rank-and-file Republican,8,82,134,149
412523,0.3013557461001686,0.5314515667997851,Peters,Democrat,rank-and-file Democrat,23,327,157,251
412764,0.6403570891718007,0.6296885538648329,Waltz,Republican,rank-and-file Republican,0,0,0,0
412613,0.13020816716933095,0.39820943163644945,DeSaulnier,Democrat,progressive Democrat,13,242,42,47
400416,0.08700414612742474,0.5395303579473564,Velázquez,Democrat,progressive Democrat,26,355,75,126
412501,0.15840101512037966,0.7166013568293675,Bonamici,Democrat,progressive Democratic leader,44,415,190,599
412713,0.6737008212406885,0.7960920275092054,Bacon,Republican,moderate Republican leader,35,480,278,650
400030,0.35489634220342037,0.38822736388116963,Bishop,Democrat,centrist Democrat,3,265,26,26
412686,0.29088009471905196,0.6259001760332471,Carbajal,Democrat,rank-and-file Democrat,30,389,102,209
